Team 1,Team 2,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating
"Gambit
                    
                    1","FaZe
                    
                    2",Timofey 'interz' Yakushin,interz,52-61,-9,51.3,66.7%,0.83,Finn 'karrigan' Andersen,karrigan,61-68,-7,72.2,69.8%,0.99
"Gambit
                    
                    1","FaZe
                    
                    2",Timofey 'interz' Yakushin,interz,52-61,-9,51.3,66.7%,0.83,Håvard 'rain' Nygaard,rain,57-70,-13,77.1,63.5%,0.93
"Gambit
                    
                    1","FaZe
                    
                    2",Timofey 'interz' Yakushin,interz,52-61,-9,51.3,66.7%,0.83,Olof 'olofmeister' Kajbjer,olofmeister,52-62,-10,62.5,69.8%,0.91
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Dzhami 'Jame' Ali,Jame,72-62,+10,66.5,72.3%,1.07,,,,,,,
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Timur 'buster' Tulepov,buster,68-67,+1,77.1,69.3%,1.07,,,,,,,
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,70-73,-3,80.1,56.4%,1.00,,,,,,,
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Alexey 'Qikert' Golubev,Qikert,59-76,-17,74.9,62.4%,0.92,,,,,,,
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Sanjar 'SANJI' Kuliev,SANJI,50-70,-20,61.6,67.3%,0.84,Lucas 'Bubzkji' Andersen,Bubzkji,77-63,+14,83.8,76.2%,1.23
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Sanjar 'SANJI' Kuliev,SANJI,50-70,-20,61.6,67.3%,0.84,Andreas 'Xyp9x' Højsleth,Xyp9x,84-65,+19,78.2,76.2%,1.18
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Sanjar 'SANJI' Kuliev,SANJI,50-70,-20,61.6,67.3%,0.84,Emil 'Magisk' Reif,Magisk,68-65,+3,79.0,67.3%,1.11
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Sanjar 'SANJI' Kuliev,SANJI,50-70,-20,61.6,67.3%,0.84,Lukas 'gla1ve' Rossander,gla1ve,60-63,-3,73.2,69.3%,0.99
"Virtus.pro
                    
                    1","Astralis
                    
                    2",Sanjar 'SANJI' Kuliev,SANJI,50-70,-20,61.6,67.3%,0.84,Peter 'dupreeh' Rasmussen,dupreeh,57-68,-11,63.7,68.3%,0.93
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Oleksandr 's1mple' Kostyliev,s1mple,89-48,+41,104.4,80.0%,1.65,,,,,,,
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Valeriy 'b1t' Vakhovskiy,b1t,68-42,+26,75.6,74.1%,1.26,,,,,,,
"Natus Vincere
                    
                    2","Astralis
                    
                    1",Denis 'electroNic' Sharipov,electroNic,62-56,+6,82.0,76.5%,1.18,,,,,,,
