Team 1,Team 2,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating,Player Full Name,Player,KD,KD Diff,ADR,KAST,Rating
"Party Astronauts
                    
                    0","GODSENT
                    
                    2",Ben 'ben1337' Smith,ben1337,19-40,-21,58.5,53.1%,0.65,Eduardo 'dumau' Wolkmer,dumau,33-29,+4,78.8,69.4%,1.11
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Josh 'oSee' Ohm,oSee,65-57,+8,66.2,71.0%,1.06,,,,,,,
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Keith 'NAF' Markovic,NAF,62-61,+1,81.5,67.7%,1.05,,,,,,,
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Jonathan 'EliGE' Jablonowski,EliGE,56-69,-13,76.4,74.2%,1.01,,,,,,,
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Richard 'shox' Papillon,shox,52-60,-8,60.5,71.0%,0.93,,,,,,,
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Nick 'nitr0' Cannella,nitr0,48-66,-18,61.3,63.4%,0.84,Alvaro 'SunPayus' Garcia,SunPayus,79-48,+31,82.5,82.8%,1.40
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Nick 'nitr0' Cannella,nitr0,48-66,-18,61.3,63.4%,0.84,Alejandro 'alex' Masanet,alex,71-56,+15,84.5,76.3%,1.17
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Nick 'nitr0' Cannella,nitr0,48-66,-18,61.3,63.4%,0.84,Raúl 'DeathZz' Jordán Nieto,DeathZz,60-54,+6,69.5,75.3%,1.08
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Nick 'nitr0' Cannella,nitr0,48-66,-18,61.3,63.4%,0.84,Alejandro 'mopoz' Fernández-Quejo Cano,mopoz,57-64,-7,74.2,74.2%,0.99
"Liquid
                    
                    1","Movistar Riders
                    
                    2",Nick 'nitr0' Cannella,nitr0,48-66,-18,61.3,63.4%,0.84,David 'dav1g' Granado Bermudo,dav1g,44-61,-17,55.6,66.7%,0.81
"BIG
                    
                    0","Players
                    
                    2",Johannes 'tabseN' Wodarz,tabseN,57-56,+1,95.4,72.2%,1.16,,,,,,,
"BIG
                    
                    0","Players
                    
                    2",Florian 'syrsoN' Rische,syrsoN,49-45,+4,69.8,62.5%,1.07,,,,,,,
"BIG
                    
                    0","Players
                    
                    2",Tizian 'tiziaN' Feldbusch,tiziaN,47-51,-4,68.4,70.8%,0.92,,,,,,,
"BIG
                    
                    0","Players
                    
                    2",Karim 'Krimbo' Moussa,Krimbo,37-51,-14,61.0,68.1%,0.83,,,,,,,
"BIG
                    
                    0","Players
                    
                    2",Josef 'faveN' Baumann,faveN,24-46,-22,43.2,70.8%,0.69,Sergey 'Ax1Le' Rykhtorov,Ax1Le,59-49,+10,94.4,80.6%,1.37
"BIG
                    
                    0","Players
                    
                    2",Josef 'faveN' Baumann,faveN,24-46,-22,43.2,70.8%,0.69,Dmitry 'sh1ro' Sokolov,sh1ro,58-35,+23,77.4,75.0%,1.28
"BIG
                    
                    0","Players
                    
                    2",Josef 'faveN' Baumann,faveN,24-46,-22,43.2,70.8%,0.69,Abay 'HObbit' Khassenov,HObbit,56-50,+6,86.6,79.2%,1.22
"BIG
                    
                    0","Players
                    
                    2",Josef 'faveN' Baumann,faveN,24-46,-22,43.2,70.8%,0.69,Timofey 'interz' Yakushin,interz,43-38,+5,68.5,79.2%,1.05
"BIG
                    
                    0","Players
                    
                    2",Josef 'faveN' Baumann,faveN,24-46,-22,43.2,70.8%,0.69,Vladislav 'nafany' Gorshkov,nafany,31-44,-13,45.4,66.7%,0.80
"Liquid
                    
                    2","GODSENT
                    
                    0",Jonathan 'EliGE' Jablonowski,EliGE,49-27,+22,111.1,78.6%,1.70,,,,,,,
"Liquid
                    
                    2","GODSENT
                    
                    0",Josh 'oSee' Ohm,oSee,41-14,+27,92.3,85.7%,1.68,,,,,,,
"Liquid
                    
                    2","GODSENT
                    
                    0",Nick 'nitr0' Cannella,nitr0,37-21,+16,93.0,85.7%,1.48,,,,,,,
"Liquid
                    
                    2","GODSENT
                    
                    0",Richard 'shox' Papillon,shox,24-19,+5,66.6,81.0%,1.17,,,,,,,
"Liquid
                    
                    2","GODSENT
                    
                    0",Keith 'NAF' Markovic,NAF,21-17,+4,62.3,83.3%,1.10,Bruno 'b4rtiN' Câmara,b4rtiN,28-35,-7,61.4,54.8%,0.77
"Liquid
                    
                    2","GODSENT
                    
                    0",Keith 'NAF' Markovic,NAF,21-17,+4,62.3,83.3%,1.10,Eduardo 'dumau' Wolkmer,dumau,21-30,-9,56.6,54.8%,0.70
"Liquid
                    
                    2","GODSENT
                    
                    0",Keith 'NAF' Markovic,NAF,21-17,+4,62.3,83.3%,1.10,Bruno 'latto' Rebelatto,latto,20-35,-15,57.1,57.1%,0.66
"Liquid
                    
                    2","GODSENT
                    
                    0",Keith 'NAF' Markovic,NAF,21-17,+4,62.3,83.3%,1.10,Henrique 'HEN1' Teles,HEN1,14-34,-20,59.1,47.6%,0.54
"Liquid
                    
                    2","GODSENT
                    
                    0",Keith 'NAF' Markovic,NAF,21-17,+4,62.3,83.3%,1.10,Epitacio 'TACO' de Melo,TACO,13-38,-25,52.1,45.2%,0.48
"BIG
                    
                    2","Party Astronauts
                    
                    0",Johannes 'tabseN' Wodarz,tabseN,53-31,+22,105.0,76.5%,1.55,,,,,,,
"BIG
                    
                    2","Party Astronauts
                    
                    0",Karim 'Krimbo' Moussa,Krimbo,44-25,+19,90.3,72.5%,1.38,,,,,,,
"BIG
                    
                    2","Party Astronauts
                    
                    0",Florian 'syrsoN' Rische,syrsoN,34-27,+7,69.8,80.4%,1.21,,,,,,,
"BIG
                    
                    2","Party Astronauts
                    
                    0",Josef 'faveN' Baumann,faveN,34-31,+3,75.5,64.7%,1.07,,,,,,,
"BIG
                    
                    2","Party Astronauts
                    
                    0",Tizian 'tiziaN' Feldbusch,tiziaN,26-29,-3,57.1,68.6%,0.90,Jonathan 'Jonji' Carey,Jonji,37-39,-2,75.9,66.7%,0.95
"BIG
                    
                    2","Party Astronauts
                    
                    0",Tizian 'tiziaN' Feldbusch,tiziaN,26-29,-3,57.1,68.6%,0.90,Jonathan 'djay' Dallal,djay,31-36,-5,68.7,70.6%,0.92
"BIG
                    
                    2","Party Astronauts
                    
                    0",Tizian 'tiziaN' Feldbusch,tiziaN,26-29,-3,57.1,68.6%,0.90,Peter 'ptr' Gurney,ptr,31-37,-6,62.0,60.8%,0.84
"BIG
                    
                    2","Party Astronauts
                    
                    0",Tizian 'tiziaN' Feldbusch,tiziaN,26-29,-3,57.1,68.6%,0.90,Josh 'PwnAlone' Pigue,PwnAlone,28-41,-13,57.5,54.9%,0.82
"BIG
                    
                    2","Party Astronauts
                    
                    0",Tizian 'tiziaN' Feldbusch,tiziaN,26-29,-3,57.1,68.6%,0.90,Ben 'ben1337' Smith,ben1337,16-38,-22,54.4,64.7%,0.65
"Players
                    
                    1","Movistar Riders
                    
                    2",Dmitry 'sh1ro' Sokolov,sh1ro,63-37,+26,74.2,82.1%,1.34,,,,,,,
"Players
                    
                    1","Movistar Riders
                    
                    2",Abay 'HObbit' Khassenov,HObbit,66-53,+13,91.2,74.4%,1.31,,,,,,,
"Players
                    
                    1","Movistar Riders
                    
                    2",Sergey 'Ax1Le' Rykhtorov,Ax1Le,50-54,-4,68.6,71.8%,1.01,,,,,,,
"Players
                    
                    1","Movistar Riders
                    
                    2",Timofey 'interz' Yakushin,interz,43-43,0,59.8,71.8%,0.96,,,,,,,
"Players
                    
                    1","Movistar Riders
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,28-63,-35,54.8,59.0%,0.61,Alejandro 'mopoz' Fernández-Quejo Cano,mopoz,63-53,+10,85.5,75.6%,1.26
"Players
                    
                    1","Movistar Riders
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,28-63,-35,54.8,59.0%,0.61,Alejandro 'alex' Masanet,alex,57-51,+6,78.4,74.4%,1.10
"Players
                    
                    1","Movistar Riders
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,28-63,-35,54.8,59.0%,0.61,Alvaro 'SunPayus' Garcia,SunPayus,54-46,+8,67.8,70.5%,1.05
"Players
                    
                    1","Movistar Riders
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,28-63,-35,54.8,59.0%,0.61,David 'dav1g' Granado Bermudo,dav1g,41-53,-12,67.3,76.9%,0.94
"Players
                    
                    1","Movistar Riders
                    
                    2",Vladislav 'nafany' Gorshkov,nafany,28-63,-35,54.8,59.0%,0.61,Raúl 'DeathZz' Jordán Nieto,DeathZz,32-52,-20,48.0,61.5%,0.69
"Liquid
                    
                    2","BIG
                    
                    0",Josh 'oSee' Ohm,oSee,46-31,+15,84.7,80.0%,1.43,,,,,,,
"Liquid
                    
                    2","BIG
                    
                    0",Keith 'NAF' Markovic,NAF,48-31,+17,87.9,81.8%,1.30,,,,,,,
"Liquid
                    
                    2","BIG
                    
                    0",Jonathan 'EliGE' Jablonowski,EliGE,42-39,+3,82.3,74.5%,1.18,,,,,,,
"Liquid
                    
                    2","BIG
                    
                    0",Richard 'shox' Papillon,shox,32-35,-3,64.8,63.6%,0.92,,,,,,,
"Liquid
                    
                    2","BIG
                    
                    0",Nick 'nitr0' Cannella,nitr0,26-37,-11,58.9,61.8%,0.83,Johannes 'tabseN' Wodarz,tabseN,43-41,+2,91.8,72.7%,1.15
"Liquid
                    
                    2","BIG
                    
                    0",Nick 'nitr0' Cannella,nitr0,26-37,-11,58.9,61.8%,0.83,Florian 'syrsoN' Rische,syrsoN,39-35,+4,77.3,67.3%,1.12
"Liquid
                    
                    2","BIG
                    
                    0",Nick 'nitr0' Cannella,nitr0,26-37,-11,58.9,61.8%,0.83,Josef 'faveN' Baumann,faveN,42-39,+3,84.7,63.6%,1.07
"Liquid
                    
                    2","BIG
                    
                    0",Nick 'nitr0' Cannella,nitr0,26-37,-11,58.9,61.8%,0.83,Karim 'Krimbo' Moussa,Krimbo,28-39,-11,54.0,60.0%,0.73
"Liquid
                    
                    2","BIG
                    
                    0",Nick 'nitr0' Cannella,nitr0,26-37,-11,58.9,61.8%,0.83,Tizian 'tiziaN' Feldbusch,tiziaN,21-40,-19,44.5,54.5%,0.57
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Eduardo 'dumau' Wolkmer,dumau,58-53,+5,80.6,67.5%,1.09,,,,,,,
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Bruno 'latto' Rebelatto,latto,49-51,-2,76.0,66.2%,1.01,,,,,,,
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Henrique 'HEN1' Teles,HEN1,37-50,-13,55.6,63.6%,0.80,,,,,,,
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Bruno 'b4rtiN' Câmara,b4rtiN,42-57,-15,55.7,59.7%,0.79,,,,,,,
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Epitacio 'TACO' de Melo,TACO,35-60,-25,57.2,62.3%,0.71,David 'dav1g' Granado Bermudo,dav1g,70-47,+23,92.5,70.1%,1.42
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Epitacio 'TACO' de Melo,TACO,35-60,-25,57.2,62.3%,0.71,Alejandro 'alex' Masanet,alex,54-41,+13,81.8,75.3%,1.21
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Epitacio 'TACO' de Melo,TACO,35-60,-25,57.2,62.3%,0.71,Alejandro 'mopoz' Fernández-Quejo Cano,mopoz,51-50,+1,75.3,75.3%,1.14
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Epitacio 'TACO' de Melo,TACO,35-60,-25,57.2,62.3%,0.71,Raúl 'DeathZz' Jordán Nieto,DeathZz,55-41,+14,71.9,76.6%,1.13
"GODSENT
                    
                    1","Movistar Riders
                    
                    2",Epitacio 'TACO' de Melo,TACO,35-60,-25,57.2,62.3%,0.71,Alvaro 'SunPayus' Garcia,SunPayus,40-42,-2,55.0,74.0%,1.00
"Players
                    
                    2","Party Astronauts
                    
                    0",Vladislav 'nafany' Gorshkov,nafany,44-20,+24,98.9,83.3%,1.67,,,,,,,
"Players
                    
                    2","Party Astronauts
                    
                    0",Dmitry 'sh1ro' Sokolov,sh1ro,39-19,+20,90.7,85.7%,1.59,,,,,,,
"Players
                    
                    2","Party Astronauts
                    
                    0",Timofey 'interz' Yakushin,interz,37-20,+17,93.7,90.5%,1.48,,,,,,,
"Players
                    
                    2","Party Astronauts
                    
                    0",Sergey 'Ax1Le' Rykhtorov,Ax1Le,31-20,+11,84.1,81.0%,1.30,,,,,,,
"Players
                    
                    2","Party Astronauts
                    
                    0",Abay 'HObbit' Khassenov,HObbit,28-19,+9,80.5,81.0%,1.27,Jonathan 'Jonji' Carey,Jonji,29-38,-9,86.0,59.5%,0.91
"Players
                    
                    2","Party Astronauts
                    
                    0",Abay 'HObbit' Khassenov,HObbit,28-19,+9,80.5,81.0%,1.27,Jonathan 'djay' Dallal,djay,27-34,-7,63.9,54.8%,0.80
"Players
                    
                    2","Party Astronauts
                    
                    0",Abay 'HObbit' Khassenov,HObbit,28-19,+9,80.5,81.0%,1.27,Ben 'ben1337' Smith,ben1337,21-35,-14,71.1,66.7%,0.77
"Players
                    
                    2","Party Astronauts
                    
                    0",Abay 'HObbit' Khassenov,HObbit,28-19,+9,80.5,81.0%,1.27,Josh 'PwnAlone' Pigue,PwnAlone,13-35,-22,42.4,45.2%,0.50
"Players
                    
                    2","Party Astronauts
                    
                    0",Abay 'HObbit' Khassenov,HObbit,28-19,+9,80.5,81.0%,1.27,Peter 'ptr' Gurney,ptr,8-37,-29,40.9,42.9%,0.34
"ENCE
                    
                    2","Sprout
                    
                    1",Lotan 'Spinx' Giladi,Spinx,98-56,+42,106.4,79.3%,1.59,,,,,,,
"ENCE
                    
                    2","Sprout
                    
                    1",Olek 'hades' Miskiewicz,hades,68-57,+11,70.7,76.1%,1.13,,,,,,,
"ENCE
                    
                    2","Sprout
                    
                    1",Paweł 'dycha' Dycha,dycha,63-62,+1,72.5,78.3%,1.07,,,,,,,
"ENCE
                    
                    2","Sprout
                    
                    1",Pavle 'Maden' Bošković,Maden,59-68,-9,70.4,63.0%,0.93,,,,,,,
"ENCE
                    
                    2","Sprout
                    
                    1",Marco 'Snappi' Pfeiffer,Snappi,47-69,-22,71.7,65.2%,0.86,Fritz 'slaxz-' Dietrich,slaxz-,77-68,+9,85.7,65.2%,1.15
"ENCE
                    
                    2","Sprout
                    
                    1",Marco 'Snappi' Pfeiffer,Snappi,47-69,-22,71.7,65.2%,0.86,Max 'Marix' Kugener,Marix,72-74,-2,93.9,65.2%,1.06
"ENCE
                    
                    2","Sprout
                    
                    1",Marco 'Snappi' Pfeiffer,Snappi,47-69,-22,71.7,65.2%,0.86,Victor 'Staehr' Staehr,Staehr,68-61,+7,75.9,71.7%,1.05
"ENCE
                    
                    2","Sprout
                    
                    1",Marco 'Snappi' Pfeiffer,Snappi,47-69,-22,71.7,65.2%,0.86,Rasmus 'raalz' Steensborg,raalz,46-67,-21,62.4,66.3%,0.84
"ENCE
                    
                    2","Sprout
                    
                    1",Marco 'Snappi' Pfeiffer,Snappi,47-69,-22,71.7,65.2%,0.86,Timo 'Spiidi' Richter,Spiidi,49-66,-17,62.0,64.1%,0.79
"FaZe
                    
                    2","FURIA
                    
                    1",Russel 'Twistzz' Van Dulken,Twistzz,52-41,+11,86.6,69.7%,1.18,,,,,,,
"FaZe
                    
                    2","FURIA
                    
                    1",Helvijs 'broky' Saukants,broky,54-49,+5,71.6,75.0%,1.08,,,,,,,
"FaZe
                    
                    2","FURIA
                    
                    1",Robin 'ropz' Kool,ropz,50-42,+8,65.4,68.4%,1.03,,,,,,,
"FaZe
                    
                    2","FURIA
                    
                    1",Håvard 'rain' Nygaard,rain,45-57,-12,68.2,64.5%,0.90,,,,,,,
"FaZe
                    
                    2","FURIA
                    
                    1",Finn 'karrigan' Andersen,karrigan,43-50,-7,64.7,64.5%,0.83,Rafael 'saffee' Costa,saffee,68-56,+12,86.4,71.1%,1.20
"FaZe
                    
                    2","FURIA
                    
                    1",Finn 'karrigan' Andersen,karrigan,43-50,-7,64.7,64.5%,0.83,André 'drop' Abreu,drop,40-37,+3,57.7,77.6%,1.03
"FaZe
                    
                    2","FURIA
                    
                    1",Finn 'karrigan' Andersen,karrigan,43-50,-7,64.7,64.5%,0.83,Yuri 'yuurih' Santos,yuurih,44-46,-2,70.1,68.4%,1.02
"FaZe
                    
                    2","FURIA
                    
                    1",Finn 'karrigan' Andersen,karrigan,43-50,-7,64.7,64.5%,0.83,Kaike 'KSCERATO' Cerato,KSCERATO,43-46,-3,65.4,69.7%,0.95
"FaZe
                    
                    2","FURIA
                    
                    1",Finn 'karrigan' Andersen,karrigan,43-50,-7,64.7,64.5%,0.83,Andrei 'arT' Piovezan,arT,44-59,-15,69.8,67.1%,0.92
"Vitality
                    
                    2","Outsiders
                    
                    0",Mathieu 'ZywOo' Herbaut,ZywOo,50-28,+22,86.5,84.6%,1.48,,,,,,,
"Vitality
                    
                    2","Outsiders
                    
                    0",Kévin 'misutaaa' Rabier,misutaaa,43-29,+14,71.7,84.6%,1.30,,,,,,,
"Vitality
                    
                    2","Outsiders
                    
                    0",Peter 'dupreeh' Rasmussen,dupreeh,39-29,+10,78.9,75.0%,1.22,,,,,,,
"Vitality
                    
                    2","Outsiders
                    
                    0",Emil 'Magisk' Reif,Magisk,32-31,+1,78.8,75.0%,1.12,,,,,,,
"Vitality
                    
                    2","Outsiders
                    
                    0",Dan 'apEX' Madesclaire,apEX,31-35,-4,83.2,80.8%,1.04,Dzhami 'Jame' Ali,Jame,42-35,+7,82.2,71.2%,1.14
"Vitality
                    
                    2","Outsiders
                    
                    0",Dan 'apEX' Madesclaire,apEX,31-35,-4,83.2,80.8%,1.04,Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,33-43,-10,72.8,55.8%,0.83
"Vitality
                    
                    2","Outsiders
                    
                    0",Dan 'apEX' Madesclaire,apEX,31-35,-4,83.2,80.8%,1.04,Alexey 'Qikert' Golubev,Qikert,25-41,-16,65.3,55.8%,0.78
"Vitality
                    
                    2","Outsiders
                    
                    0",Dan 'apEX' Madesclaire,apEX,31-35,-4,83.2,80.8%,1.04,Evgenii 'FL1T' Lebedev,FL1T,27-39,-12,61.2,69.2%,0.76
"Vitality
                    
                    2","Outsiders
                    
                    0",Dan 'apEX' Madesclaire,apEX,31-35,-4,83.2,80.8%,1.04,Timur 'buster' Tulepov,buster,25-37,-12,52.9,55.8%,0.70
"Vitality
                    
                    0","FaZe
                    
                    2",Mathieu 'ZywOo' Herbaut,ZywOo,27-33,-6,67.9,56.8%,0.85,,,,,,,
"Vitality
                    
                    0","FaZe
                    
                    2",Peter 'dupreeh' Rasmussen,dupreeh,23-37,-14,63.9,56.8%,0.75,,,,,,,
"Vitality
                    
                    0","FaZe
                    
                    2",Emil 'Magisk' Reif,Magisk,25-35,-10,71.6,52.3%,0.75,,,,,,,
"Vitality
                    
                    0","FaZe
                    
                    2",Kévin 'misutaaa' Rabier,misutaaa,15-35,-20,40.1,50.0%,0.56,,,,,,,
"Vitality
                    
                    0","FaZe
                    
                    2",Dan 'apEX' Madesclaire,apEX,10-38,-28,35.7,36.4%,0.35,Håvard 'rain' Nygaard,rain,37-22,+15,89.8,81.8%,1.45
"Vitality
                    
                    0","FaZe
                    
                    2",Dan 'apEX' Madesclaire,apEX,10-38,-28,35.7,36.4%,0.35,Robin 'ropz' Kool,ropz,42-21,+21,78.5,81.8%,1.40
"Vitality
                    
                    0","FaZe
                    
                    2",Dan 'apEX' Madesclaire,apEX,10-38,-28,35.7,36.4%,0.35,Russel 'Twistzz' Van Dulken,Twistzz,32-17,+15,81.1,86.4%,1.39
"Vitality
                    
                    0","FaZe
                    
                    2",Dan 'apEX' Madesclaire,apEX,10-38,-28,35.7,36.4%,0.35,Finn 'karrigan' Andersen,karrigan,36-20,+16,91.8,72.7%,1.38
"Vitality
                    
                    0","FaZe
                    
                    2",Dan 'apEX' Madesclaire,apEX,10-38,-28,35.7,36.4%,0.35,Helvijs 'broky' Saukants,broky,29-21,+8,81.5,77.3%,1.22
"Outsiders
                    
                    2","Sprout
                    
                    1",Dzhami 'Jame' Ali,Jame,72-36,+36,81.1,75.0%,1.43,,,,,,,
"Outsiders
                    
                    2","Sprout
                    
                    1",Alexey 'Qikert' Golubev,Qikert,51-38,+13,69.8,70.0%,1.17,,,,,,,
"Outsiders
                    
                    2","Sprout
                    
                    1",Evgenii 'FL1T' Lebedev,FL1T,55-50,+5,76.1,77.5%,1.16,,,,,,,
"Outsiders
                    
                    2","Sprout
                    
                    1",Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,56-53,+3,76.5,70.0%,1.15,,,,,,,
"Outsiders
                    
                    2","Sprout
                    
                    1",Timur 'buster' Tulepov,buster,45-46,-1,69.1,72.5%,1.03,Victor 'Staehr' Staehr,Staehr,55-52,+3,75.2,65.0%,1.04
"Outsiders
                    
                    2","Sprout
                    
                    1",Timur 'buster' Tulepov,buster,45-46,-1,69.1,72.5%,1.03,Timo 'Spiidi' Richter,Spiidi,51-57,-6,72.2,61.3%,0.91
"Outsiders
                    
                    2","Sprout
                    
                    1",Timur 'buster' Tulepov,buster,45-46,-1,69.1,72.5%,1.03,Fritz 'slaxz-' Dietrich,slaxz-,42-53,-11,58.5,65.0%,0.83
"Outsiders
                    
                    2","Sprout
                    
                    1",Timur 'buster' Tulepov,buster,45-46,-1,69.1,72.5%,1.03,Max 'Marix' Kugener,Marix,42-60,-18,66.3,57.5%,0.76
"Outsiders
                    
                    2","Sprout
                    
                    1",Timur 'buster' Tulepov,buster,45-46,-1,69.1,72.5%,1.03,Rasmus 'raalz' Steensborg,raalz,32-59,-27,49.5,61.3%,0.65
"FURIA
                    
                    2","ENCE
                    
                    1",Yuri 'yuurih' Santos,yuurih,55-54,+1,79.7,65.1%,1.06,,,,,,,
"FURIA
                    
                    2","ENCE
                    
                    1",Andrei 'arT' Piovezan,arT,55-64,-9,73.0,66.3%,1.01,,,,,,,
"FURIA
                    
                    2","ENCE
                    
                    1",Kaike 'KSCERATO' Cerato,KSCERATO,54-53,+1,75.0,68.7%,0.99,,,,,,,
"FURIA
                    
                    2","ENCE
                    
                    1",Rafael 'saffee' Costa,saffee,51-59,-8,68.3,66.3%,0.98,,,,,,,
"FURIA
                    
                    2","ENCE
                    
                    1",André 'drop' Abreu,drop,49-49,0,61.4,68.7%,0.93,Paweł 'dycha' Dycha,dycha,59-46,+13,71.9,77.1%,1.16
"FURIA
                    
                    2","ENCE
                    
                    1",André 'drop' Abreu,drop,49-49,0,61.4,68.7%,0.93,Pavle 'Maden' Bošković,Maden,58-57,+1,86.3,71.1%,1.16
"FURIA
                    
                    2","ENCE
                    
                    1",André 'drop' Abreu,drop,49-49,0,61.4,68.7%,0.93,Lotan 'Spinx' Giladi,Spinx,63-55,+8,78.4,72.3%,1.07
"FURIA
                    
                    2","ENCE
                    
                    1",André 'drop' Abreu,drop,49-49,0,61.4,68.7%,0.93,Marco 'Snappi' Pfeiffer,Snappi,55-52,+3,72.0,69.9%,1.02
"FURIA
                    
                    2","ENCE
                    
                    1",André 'drop' Abreu,drop,49-49,0,61.4,68.7%,0.93,Olek 'hades' Miskiewicz,hades,44-54,-10,60.5,65.1%,0.91
"FaZe
                    
                    2","Sprout
                    
                    0",Helvijs 'broky' Saukants,broky,44-22,+22,74.2,84.0%,1.41,,,,,,,
"FaZe
                    
                    2","Sprout
                    
                    0",Håvard 'rain' Nygaard,rain,39-27,+12,92.5,84.0%,1.39,,,,,,,
"FaZe
                    
                    2","Sprout
                    
                    0",Russel 'Twistzz' Van Dulken,Twistzz,36-24,+12,90.8,82.0%,1.35,,,,,,,
"FaZe
                    
                    2","Sprout
                    
                    0",Robin 'ropz' Kool,ropz,29-24,+5,56.0,78.0%,1.11,,,,,,,
"FaZe
                    
                    2","Sprout
                    
                    0",Finn 'karrigan' Andersen,karrigan,29-35,-6,72.2,60.0%,0.90,Victor 'Staehr' Staehr,Staehr,29-35,-6,74.9,70.0%,0.95
"FaZe
                    
                    2","Sprout
                    
                    0",Finn 'karrigan' Andersen,karrigan,29-35,-6,72.2,60.0%,0.90,Fritz 'slaxz-' Dietrich,slaxz-,27-32,-5,57.7,70.0%,0.93
"FaZe
                    
                    2","Sprout
                    
                    0",Finn 'karrigan' Andersen,karrigan,29-35,-6,72.2,60.0%,0.90,Timo 'Spiidi' Richter,Spiidi,28-35,-7,64.5,60.0%,0.86
"FaZe
                    
                    2","Sprout
                    
                    0",Finn 'karrigan' Andersen,karrigan,29-35,-6,72.2,60.0%,0.90,Max 'Marix' Kugener,Marix,27-36,-9,58.5,62.0%,0.78
"FaZe
                    
                    2","Sprout
                    
                    0",Finn 'karrigan' Andersen,karrigan,29-35,-6,72.2,60.0%,0.90,Rasmus 'raalz' Steensborg,raalz,20-39,-19,61.7,58.0%,0.73
"Outsiders
                    
                    0","ENCE
                    
                    2",Evgenii 'FL1T' Lebedev,FL1T,53-42,+11,95.6,64.5%,1.29,,,,,,,
"Outsiders
                    
                    0","ENCE
                    
                    2",Mareks 'YEKINDAR' Gaļinskis,YEKINDAR,42-44,-2,70.7,67.7%,0.99,,,,,,,
"Outsiders
                    
                    0","ENCE
                    
                    2",Dzhami 'Jame' Ali,Jame,34-36,-2,62.3,67.7%,0.94,,,,,,,
"Outsiders
                    
                    0","ENCE
                    
                    2",Alexey 'Qikert' Golubev,Qikert,36-43,-7,65.6,74.2%,0.93,,,,,,,
"Outsiders
                    
                    0","ENCE
                    
                    2",Timur 'buster' Tulepov,buster,31-43,-12,71.5,58.1%,0.80,Olek 'hades' Miskiewicz,hades,54-28,+26,83.5,74.2%,1.42
"Outsiders
                    
                    0","ENCE
                    
                    2",Timur 'buster' Tulepov,buster,31-43,-12,71.5,58.1%,0.80,Pavle 'Maden' Bošković,Maden,50-45,+5,93.7,67.7%,1.21
"Outsiders
                    
                    0","ENCE
                    
                    2",Timur 'buster' Tulepov,buster,31-43,-12,71.5,58.1%,0.80,Lotan 'Spinx' Giladi,Spinx,38-40,-2,73.3,69.4%,1.00
"Outsiders
                    
                    0","ENCE
                    
                    2",Timur 'buster' Tulepov,buster,31-43,-12,71.5,58.1%,0.80,Paweł 'dycha' Dycha,dycha,32-42,-10,62.9,64.5%,0.82
"Outsiders
                    
                    0","ENCE
                    
                    2",Timur 'buster' Tulepov,buster,31-43,-12,71.5,58.1%,0.80,Marco 'Snappi' Pfeiffer,Snappi,32-42,-10,59.9,72.6%,0.82
"Vitality
                    
                    1","FURIA
                    
                    2",Emil 'Magisk' Reif,Magisk,51-56,-5,78.9,62.8%,1.02,,,,,,,
"Vitality
                    
                    1","FURIA
                    
                    2",Dan 'apEX' Madesclaire,apEX,55-53,+2,76.5,66.7%,0.99,,,,,,,
"Vitality
                    
                    1","FURIA
                    
                    2",Mathieu 'ZywOo' Herbaut,ZywOo,47-52,-5,68.1,69.2%,0.91,,,,,,,
"Vitality
                    
                    1","FURIA
                    
                    2",Peter 'dupreeh' Rasmussen,dupreeh,48-55,-7,66.0,65.4%,0.89,,,,,,,
"Vitality
                    
                    1","FURIA
                    
                    2",Kévin 'misutaaa' Rabier,misutaaa,34-61,-27,55.8,59.0%,0.71,Yuri 'yuurih' Santos,yuurih,67-43,+24,91.0,83.3%,1.44
"Vitality
                    
                    1","FURIA
                    
                    2",Kévin 'misutaaa' Rabier,misutaaa,34-61,-27,55.8,59.0%,0.71,Kaike 'KSCERATO' Cerato,KSCERATO,65-43,+22,90.7,80.8%,1.37
